"Term","condition","TP","FP","FN","TN","TP_markers","statistic","score","p_value","q.value"
"Amino acids, peptides, and analogues","Met.11",5,3,19,58,"C4H8NO7P;C11H16N2O8;C10H17N3O6;C4H7NO3;C6H10N2O4","ora",1.42760624645994,0.0373588718891547,0.0373588718891547
"Glycerophosphoethanolamines","Met.7",2,7,1,75,"C23H46NO7P;C5H14NO6P","ora",1.54437594544924,0.0285511795079477,0.0285511795079477
"Purines and purine derivatives","Met.6",3,1,1,80,"C5H5N5;C5H5N5O;C5H4N4O2","ora",3.79449555384548,0.000160510869055233,0.000160510869055233
"Purines and purine derivatives","Met.9",3,6,1,75,"C5H5N5;C5H5N5O;C5H4N4O2","ora",2.49279792625617,0.00321515617707559,0.00321515617707559
