"database","sumFormula","adduct","ion","mz","msmScore","rhoSpatial","rhoSpectral","rhoChaos","fdrLevel","off_sample_label","off_sample_prob"
"ChEBI","C16H16N6O","+Cl","C16H16N6O+Cl-",343.107960429,0.011411803,0.0132138001745132,0.865529894165707,0.997802197802198,0.5,"off",0.999990463256836
"ChEBI","C18H24N2O6S2","-H","C18H24N2O6S2-H-",427.100302393,0.011398443,0.0123374905524475,0.926174987393198,0.997529239766082,0.5,"off",0.999957323074341
"ChEBI","C6H5N2","+Cl","C6H5N2+Cl-",140.014674457,0.011379881,0.0132689379945059,0.86572524780262,0.990652760098003,0.5,"off",0.999998927116394
"ChEBI","C16H32O3","+Cl","C16H32O3+Cl-",307.204546181,0.011373495,0.0133004462738882,0.856641959583585,0.998224852071006,0.5,"on",0.474527150392532
"ChEBI","C11H22N3O6P","+Cl","C11H22N3O6P+Cl-",358.094023721,0.0113590965,0.0126041691049062,0.904144825987539,0.996762208067941,0.5,"off",0.999992847442627
"ChEBI","C13H21N5O5","-H","C13H21N5O5-H-",326.146992337,0.011350893,0.0120773153241562,0.956671684604033,0.982418962404835,0.5,"off",0.9999920129776
"ChEBI","C5H4O3","-H","C5H4O3-H-",111.008767553,0.011299949,0.0115516757576401,0.984581482121242,0.993527408635296,0.5,"off",0.999971628189087
"ChEBI","C11H19N3O5S","-H","C11H19N3O5S-H-",304.097265443,0.011295913,0.011823484583257,0.959557553695551,0.995645670599967,0.5,"off",0.999980807304382
"ChEBI","C15H22ClNO2","+Cl","C15H22ClNO2+Cl-",318.103307941,0.011266613,0.0156683611549751,0.735837789914823,0.977209587362114,0.5,"off",0.999982118606567
"ChEBI","C25H29FO2Si","-H","C25H29FO2Si-H-",407.184808433,0.011245155,0.0125244782695163,0.911189381751515,0.985365058670143,0.5,"off",0.99999213218689
"ChEBI","C13H9N3O","-H","C13H9N3O-H-",222.067285473,0.011233144,0.0122338287665637,0.934134057678766,0.982946170351712,0.5,"off",0.99999988079071
"ChEBI","C23H26O5","-H","C23H26O5-H-",381.170747497,0.011217522,0.0125388843099106,0.924306651926296,0.967881055533675,0.5,"off",0.999995231628418
"ChEBI","C19H21FN2O4","-H","C19H21FN2O4-H-",359.141258877,0.011213207,0.0121788910827765,0.938272470742954,0.981280400572246,0.5,"off",0.999999046325684
"ChEBI","C16H23N3OS","+Cl","C16H23N3OS+Cl-",340.125584823,0.011199315,0.013477438801537,0.852837878352138,0.9743558613247,0.5,"off",0.999987363815308
"ChEBI","C19H17NO2S","+Cl","C19H17NO2S+Cl-",358.067401251,0.0111612985,0.0134417584053712,0.839721558063603,0.988833859903794,0.5,"off",0.999808132648468
"ChEBI","C19H21N3O2S","+Cl","C19H21N3O2S+Cl-",390.104849379,0.011121878,0.0135002681578818,0.840066173189263,0.980668519463823,0.5,"off",0.999930024147034
"ChEBI","C11H20O6","-H","C11H20O6-H-",247.118711925,0.011120971,0.0119967571569266,0.9648453305756,0.96077383497221,0.5,"off",0.999997138977051
"ChEBI","C3H7NO3","+Cl","C3H7NO3+Cl-",140.011994381,0.011071282,0.0122877874566275,0.901828263365326,0.999080331159303,0.5,"on",0.0004237356479279
"ChEBI","C14H12O4","-H","C14H12O4-H-",243.066282429,0.011071244,0.011811744857193,0.939311974106573,0.997866666666667,0.5,"off",0.968813598155975
"ChEBI","C15H20N2O3S","+Cl","C15H20N2O3S+Cl-",343.088864967,0.011064792,0.0132136969445128,0.856992697653446,0.977106285877277,0.5,"off",0.999999523162842
"ChEBI","C8H16NO9P","-H","C8H16NO9P-H-",300.048991657,0.011043626,0.0121594140613403,0.9090158130796,0.999142910378237,0.5,"on",0.0005904881400056
"ChEBI","C9H14N4O5S","-H","C9H14N4O5S-H-",289.061214283,0.011037709,0.0118899520976408,0.933248313998371,0.994721764382702,0.5,"off",0.997722804546356
"ChEBI","C20H30N4O6","-H","C20H30N4O6-H-",421.209258245,0.011030236,0.0118984895144059,0.934093934997249,0.992435788879481,0.5,"off",0.999997615814209
"ChEBI","C13H17N3O4S","-H","C13H17N3O4S-H-",310.086700759,0.011029684,0.0184154725118471,0.602828961528547,0.993541666666667,0.5,"off",0.99997067451477
"ChEBI","C8H13N3O2S","-H","C8H13N3O2S-H-",214.065571391,0.011024617,0.0114980731174255,0.965422798223693,0.993163829936261,0.5,"off",0.999972820281982
